all_emo_word_count	all_emo_word_count_multi	author	avg_neg_dist	avg_pos_dist	datetime	digest	keywordlist	mood	neg_amp_val	neg_amp_val_per_word	neg_emo_word_count	neg_emo_word_count_multi	neg_words_list	page_id	pagesignature	parse_date	pos_amp_val	pos_amp_val_per_word	pos_emo_word_count	pos_emo_word_count_multi	pos_words_list	post_id	postsignature	ratio_all_emo_vs_total	ratio_neg_emo_vs_total	ratio_pos_emo_vs_neg_emo	ratio_pos_emo_vs_total	rawdatetime	sale	sellscore	spam	spamscore	text	text_segmented	title	type	url	
1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	PeterJohnson	0	0	2014-10-20 14:16:00	24e35f1e802f78b41411ff8dc4d2f397	ทีมเทพ จริง เทพ เทพจริง	positive	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	2.0	40	1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	เทพ 	1	www.thaimtb.com_60_1086409_1	0	0	999	0	  20 ต.ค. 2014, 14:16 	1	-0.0	1	-0.0	ทีมเทพจริง  ครับ 	ทีม เทพ จริง ครับ 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
2	[1, 1, 1, 2, 2, 2, 0, 0, 0, 1, 2, 2]	Pajingo	0	0	2014-10-20 14:44:00	9beb8157d0761968b29099b623c47632	bike call pajingo clean ถอดล้าง ซ่อม ซอกหลืบ bikec ajingo ย่าน point ถอด plscall jumms	positive	-1.0	-2	1	[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]	แรง 	0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	1.5	2	1	[0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]	สนใจ 	2	www.thaimtb.com_60_1086409_2	0	0	1	0	  20 ต.ค. 2014, 14:44 	1	-0.0	1	-0.0	สุดยอดมาก  ครับ _ คน ต้องแรงกว่า รถ P ajingo B ike C lean & S ervice บริการ.. ประกอบ เซอร์วิส ถอดล้างจักรยาน ทุกซอกหลืบ ย่าน รังสิต, Work Point สนใจ.. Pls Call.   -  -   Line ID  pajingo_bike_clean Jumms Bike Studio ซ่อมบำรุงจักรยานทั้งในและ นอกสถานที่ ด้วยอุปกรณ์มาตรฐาน Call   -     Bilingual 	สุด ยอด มาก ครับ _ คน ต้อง แรง กว่า รถ P ajingo B ike C lean & S ervice บริการ . . ประกอบ เซอร์ วิ ส ถอด ล้าง จักรยาน ทุก ซอก หลืบ ย่าน รัง สิต , Work Point สนใจ . . Pls Call . - - Line ID pajingo _ bike _ clean Jumms Bike Studio ซ่อม บำรุง จักรยาน ทั้ง ใน และ นอก สถาน ที่ ด้วย อุปกรณ์ มาตร ฐาน Call - Bilingual 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
2	[1, 1, 2, 2, 2, 2, 0, 0, 0, 1, 2, 2]	torpath	0	25	2014-10-20 15:31:00	8595287e883d868cb01e94cb3f15c8e2	อะไหล่ playlivecycling สะดวก ทั้งคัน มือมา ตอบ รวมไปถึง ย้าย จะไปร้าน เราคือคำ ไหนดี คิวเยอะ ทั้งหมด คันและ	positive	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	3.0	4	2	[1, 1, 2, 2, 2, 2, 0, 0, 0, 1, 2, 2]	เก่ง ดี 	3	www.thaimtb.com_60_1086409_3	0	0	999	0	  20 ต.ค. 2014, 15:31 	1	-0.0	1	-0.0	เก่งมากกครับ _ PLAYLIVE CYCLING บริการประกอบรถจักรยานนอกสถานที่ เพื่อความสะดวกสำหรับท่านที่ ไม่รู้จะไปร้านไหนดี ร้านคิวเยอะ ซื้ออะไหล่มาจากหลาย ที่ ได้อะไหล่มือ  มา ร้านอยู่ไกลบ้าน รวมไปถึงแยกอะไหล่จักรยานทั้งคันและ ย้ายอะไหล่ ทั้งหมดนี้เราคือคำตอบ IG  playlivecycling LINE  playlivecycling	เก่ง มา กก ครับ _ PLAYLIVE CYCLING บริการ ประกอบ รถจักรยาน นอก สถาน ที่ เพื่อ ความ สะดวก สำหรับ ท่าน ที่ ไม่ รู้ จะ ไป ร้าน ไหน ดี ร้าน คิว เยอะ ซื้อ อะไหล่ มา จาก หลาย ที่ ได้ อะไหล่ มือ มา ร้าน อยู่ ไกล บ้าน รวม ไป ถึง แยก อะไหล่ จักรยาน ทั้ง คัน และ ย้าย อะไหล่ ทั้งหมด นี้ เรา คือ คำ ตอบ IG playlivecycling LINE playlivecycling 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	Permkiat	0	0	2014-10-20 15:40:00	44100086ed6e83756a0ef05b2b83bf3b	ก้าวแรก เยี่ยม ก้าว มากครับ แรก	positive	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	1.0	14	1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	เยี่ยม 	4	www.thaimtb.com_60_1086409_4	0	0	999	0	  20 ต.ค. 2014, 15:40 	1	-0.0	1	-0.0	เยี่ยมมากครับ สำหรับก้าวแรก	เยี่ยม มาก ครับ สำหรับ ก้าว แรก 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	PsyChasi	0	0	2014-10-20 15:46:00	7f0cf2d0a17259a6f35d89abfde7912f	ปั่น ครับมี มีคนไทย ไม่มีคน เห เหรอ มีเวลา ปั่นเห ไม่มี เหรอครับ ทำไมไม่ รอครับ ทำไม ปั่นเหรอ	neutral	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		5	www.thaimtb.com_60_1086409_5	0	0	999	0	  20 ต.ค. 2014, 15:46 	1	-0.0	1	-0.0	ทำไมไม่มีคนไทยปั่นเหรอครับ  มีเวลาต้องปั่นจักรยาน	ทำไม ไม่ มี คน ไทย ปั่น เห รอ ครับ มี เวลา ต้อง ปั่น จักรยาน 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	gtotop	0	0	2014-10-28 22:48:00	17fe90aa80dcda6e23bd383882f5ef3d	เข้ามา มาช่วง สีส้ม ส้มมี มาหรือ หรือยัง ช่วงไหน จะเข้ามา ยังครับ ไหนครับ ส้ม หรือจะ จะเข้า มีเข้า	neutral	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		1	www.thaimtb.com_346_1037701	2015-01-15 14:12:24	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		0	www.thaimtb.com_346_1037701_0	0	0	999	0	  28 ต.ค. 2014, 22:48 	0	-0.0	0	-0.0	Size    สีส้มมีเข้ามาหรือ ยังครับ หรือ จะเข้ามาช่วงไหนครับ ผม	Size สี ส้ม มี เข้า มา หรือ ยัง ครับ หรือ จะ เข้า มา ช่วง ไหน ครับ ผม 	. New Specialized TARMAC SL   SPORT Shimano       SP    พร้อมจำหน่ายทั่วไทย .	post	http://www.thaimtb.com/forum/viewtopic.php?f=346&start=15&t=1037701	
1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	de	0	0	2014-10-20 16:36:00	18566b09394d6fa001a8b292a343bf50	จริง เยี่ยม	positive	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	1.0	33	1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	เยี่ยม 	6	www.thaimtb.com_60_1086409_6	0	0	999	0	  20 ต.ค. 2014, 16:36 	1	-0.0	1	-0.0	เยี่ยมจริง 	เยี่ยม จริง 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
1	[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]	Sportbicycle_MKT	0	0	2014-10-31 16:18:00	5c9771e2dd36a95d1dd8ece9f0750df5	sportbicycle twitter bicycle sport เข้ามา idsportbicycle ช้า รู sportbicyleinstagram gtotop มีอยู่ แนะนำ อัฟเดต ตรงครับ	positive	-1.5	-3	1	[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1]	ช้า 	1	www.thaimtb.com_346_1037701	2015-01-15 14:12:24	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		16	www.thaimtb.com_346_1037701_16	0	0	0	0	  31 ต.ค. 2014, 16:18 	1	-0.0	1	-0.0	gtotop เขียน Size    สีส้มมีเข้ามาหรือ ยังครับ หรือ จะเข้ามาช่วงไหนครับ ผม แนะนำติตด่อโชวน์รูม sport Bicycle ได้โดยตรงครับ มีอยู่เพียง    ค้นเท่านั้นครับ อย่าช้านะครับ __ ติดตามข่าวสารอัฟเดตของ Sport Bicycle WEB Site  FaceBook  Twitter  twitter.com/SportBicyle Instagram  sportbicycle LINE ID  sportbicycle	gtotop เขียน Size สี ส้ม มี เข้า มา หรือ ยัง ครับ หรือ จะ เข้า มา ช่วง ไหน ครับ ผม แนะนำ ติ ตด่อโชวน์ รู ม sport Bicycle ได้ โดย ตรง ครับ มี อยู่ เพียง ค้น เท่านั้น ครับ อย่า ช้า นะ ครับ _ _ ติดตาม ข่าวสาร อัฟ เด ต ของ Sport Bicycle WEB Site FaceBook Twitter twitter . com / SportBicyle Instagram sportbicycle LINE ID sportbicycle 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=346&start=15&t=1037701	
2	[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]	SidewinderZ	0	0	2014-10-20 17:38:00	76483415f2ffd7be550dd2be8af225ad	ครับไป แรงขา ไปด้วย ขา ด้วยแรง แรง เยี่ยม	positive	-1.0	-15	1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	แรง 	0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	1.0	14	1	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	เยี่ยม 	7	www.thaimtb.com_60_1086409_7	0	0	1	0	  20 ต.ค. 2014, 17:38 	1	-0.0	1	-0.0	เยี่ยมครับ  ไปด้วยแรงขา	เยี่ยม ครับ ไป ด้วย แรง ขา 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	fluknattapon	0	0	2014-10-20 18:07:00	d1a341ee0c9a2b9386e06e7d3c2111be	ac ebo ce eb knattapon kfl ยอดครับ lu luk ceb bo ook fa okf	neutral	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		0	www.thaimtb.com_60_1086409	2015-01-15 14:12:08	0	0	0	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]		8	www.thaimtb.com_60_1086409_8	0	0	999	0	  20 ต.ค. 2014, 18:07 	1	-0.0	1	-0.0	สุดยอดครับ  F a c e B o o k  F l u k Nattapon  	สุด ยอด ครับ F a c e B o o k F l u k Nattapon 		comment	http://www.thaimtb.com/forum/viewtopic.php?f=60&t=1086409	
